,size,price,date,product,release_date,color,release_price,number,transactions,wish,review
74,225,240000,2021-10-23,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
75,240,330000,2021-10-27,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
76,240,265000,2021-11-09,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
77,240,275000,2021-11-14,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
78,235,290000,2021-11-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
79,230,250000,2021-11-19,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
80,225,249000,2021-11-29,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
81,250,278000,2021-12-08,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
82,240,280000,2021-12-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
83,235,270000,2021-12-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
84,245,265000,2021-12-11,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
85,230,235000,2021-12-14,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
86,250,280000,2021-12-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
87,240,320000,2021-12-17,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
88,240,260000,2021-12-20,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
89,240,265000,2021-12-27,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
90,240,280000,2021-12-30,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
91,250,200000,2021-12-30,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)",36866,92,763,7
92,240,160000,2021-09-02,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
93,230,180000,2021-09-04,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
94,230,190000,2021-09-04,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
95,245,180000,2021-09-13,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
96,235,190000,2021-09-26,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
97,235,180000,2021-09-27,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
98,240,180000,2021-10-03,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
99,230,210000,2021-10-13,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
100,250,194000,2021-10-14,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
101,230,250000,2021-10-14,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
102,235,190000,2021-10-16,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
103,230,230000,2021-10-18,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
104,235,199000,2021-10-19,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
105,240,200000,2021-10-21,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
106,245,200000,2021-10-24,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
107,240,210000,2021-10-25,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
108,235,199000,2021-11-04,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
